ano_de_exercicio;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro;valor_despesa_liquidada_rp;valor_pago_rp
2026;1081;AGE;ADVOCACIA GERAL DO ESTADO;514070266,27;383116076,66;365361783,47;383116076,66;187674481,12
2026;2431;AGÊNCIA RMBH;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;2951648,33;2794398,09;2668752,29;2794398,09;227156,84
2026;2461;ARMVA;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO;3937101,41;1683364,47;1554216,32;1683364,47;685196,49
2026;2441;ARSAE -MG;AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA;9923254,4;8502080,57;8438328,6;8502080,57;145104,18
2026;2471;ARTEMIG;AGENCIA REGULADORA DE TRANSPORTES DO ESTADO DE MINAS GERAIS;25128488,15;13537981,66;12533557,74;13537981,66;2159796,82
2026;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;29046645,11;28659281,68;28518667,66;28659281,68;1316450,02
2026;1401;CBMMG;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;862947452,44;836388913,14;834818516,61;836388913,14;36138381,96
2026;2301;DER-MG;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;830849455,1;393755367,43;372863327,19;393755367,43;254848857,25
2026;2481;DETRAN/MG;DEPARTAMENTO ESTADUAL DE TRANSITO DE MINAS GERAIS;30411118,3;28486969,61;19441641,19;28486969,61;
2026;1911;EGE - SEF;EGE SEC.FAZENDA-ENCARGOS DIVERSOS;509489748,28;356769713,06;356765350,29;356769713,06;73808566,6
2026;1941;EGE-SEPLAG;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;75440224,45;74314095,13;74154612,79;74314095,13;886712,42
2026;3041;EMATER;EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS;113201966,42;113201966,42;113201966,42;113201966,42;
2026;3051;EPAMIG;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS;45052077,52;45052077,52;45052077,52;45052077,52;
2026;3151;EMC;EMPRESA MINEIRA DE COMUNICACAO;9639005,12;9639005,12;9639005,12;9639005,12;
2026;1541;ESP MG;ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS;10416820,49;9071623,48;8866928,05;9071623,48;1171305,47
2026;2321;HEMOMINAS;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;179506609,28;144540649,19;133630046,31;144540649,19;26744040,38
2026;2181;FCS;FUNDACAO CLOVIS SALGADO;30747920,5;22341650,91;21816095,97;22341650,91;2463402,91
2026;2071;FAPEMIG;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;264377195,88;201836659,09;195206035,53;201836659,09;6540600,35
2026;2171;FAOP;FUNDACAO DE ARTE DE OURO PRETO;1962037,18;1780269,96;1718725,41;1780269,96;111797,23
