programa_codigo;programa_descricao;projeto_atividade_codigo;projeto_atividade_descricao;unidade_orcamentaria_codigo;unidade_orcamentaria_sigla;unidade_orcamentaria_nome;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro;valor_despesa_liquidada_rp;valor_pago_rp
1;MINAS INTEGRA E TRANSPARENTE;4304;PROMOCAO DO ACESSO A INFORMACAO E DA TRANSPARENCIA;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;1219310,69;977155,93;965533,8;204290,04;204290,04
1;PESQUISA CIENTIFICA, DESENVOLVIMENTO TECNOLOGICO E INOVACAO;4098;FOMENTO A INOVACAO CIENTIFICA E TECNOLOGICA JUNTO AO SETOR EMPRESARIAL;2071;FAPEMIG;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;ASSISTENCIA A SAUDE DOS SEGURADOS E DOS SEUS DEPENDENTES;4001;ASSISTENCIA MEDICO-HOSPITALAR AOS SEGURADOS MILITARES E AOS SEUS DEPENDENTES;2121;IPSM;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;ASSISTENCIA A SAUDE DOS SEGURADOS E DOS SEUS DEPENDENTES;4002;ASSISTENCIA ODONTOLOGICA AOS SEGURADOS MILITARES E A SEUS DEPENDENTES;2121;IPSM;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;AUDITORIA INTERNA PARA O FUTURO;4309;ESTRUTURACAO TECNOLOGICA E INSTITUCIONALIZACAO DA AUDITORIA CONTINUA;1521;CGE;CONTROLADORIA-GERAL DO ESTADO;58509,11;41371,11;41189,19;15432,84;15144,23
2;SAUDE INTEGRADA;4003;GESTAO DA POLITICA HOSPITALAR - COMPLEXO DE URGENCIA E EMERGENCIA;2271;FHEMIG;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;SAUDE INTEGRADA;4004;GESTAO DA POLITICA HOSPITALAR - COMPLEXO DE ESPECIALIDADES;2271;FHEMIG;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;SAUDE INTEGRADA;4006;GESTAO DA POLITICA HOSPITALAR - COMPLEXO DE HOSPITAIS GERAIS;2271;FHEMIG;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2;SAUDE INTEGRADA;4299;AQUISICAO, ARMAZENAMENTO E DISTRIBUICAO DE MEDICAMENTOS BASICOS;4291;FES;FUNDO ESTADUAL DE SAUDE;;;;0,0;0,0
2;SAUDE INTEGRADA;4308;GESTAO DA POLITICA HOSPITALAR - FORTALECIMENTO E MELHORIA DA QUALIDADE DOS HOSPITAIS DO SISTEMA UNIC;4291;FES;FUNDO ESTADUAL DE SAUDE;;;;0,0;420713,13
